year,geo_name,geo,grads_total
2014,"Los Angeles County, CA","05000US06037",160567
2015,"Los Angeles County, CA","05000US06037",160277
2013,"Los Angeles County, CA","05000US06037",159818
2013,"Maricopa County, AZ","05000US04013",154302
2014,"Maricopa County, AZ","05000US04013",141493
2015,"Maricopa County, AZ","05000US04013",133663
2013,"Cook County, IL","05000US17031",106819
2014,"Cook County, IL","05000US17031",102734
2015,"Cook County, IL","05000US17031",96415
2014,"New York County, NY","05000US36061",89700
2015,"New York County, NY","05000US36061",88542
2013,"New York County, NY","05000US36061",86999
2015,"Orange County, CA","05000US06059",71414
2014,"Orange County, CA","05000US06059",64907
2013,"Orange County, CA","05000US06059",59819
2015,"San Diego County, CA","05000US06073",56033
2014,"San Diego County, CA","05000US06073",55543
2013,"San Diego County, CA","05000US06073",52959
2013,"Miami-Dade County, FL","05000US12086",52798
2014,"Miami-Dade County, FL","05000US12086",49931
2015,"Harris County, TX","05000US48201",47832
2015,"Miami-Dade County, FL","05000US12086",47275
2014,"Orange County, FL","05000US12095",46576
2015,"Orange County, FL","05000US12095",46245
2014,"Harris County, TX","05000US48201",46042
2013,"Harris County, TX","05000US48201",45531
2013,"Orange County, FL","05000US12095",43702
2015,"Hennepin County, MN","05000US27053",43326
2013,"Hennepin County, MN","05000US27053",42752
2015,"Philadelphia County, PA","05000US42101",42653
2013,"Philadelphia County, PA","05000US42101",42622
2014,"Hennepin County, MN","05000US27053",42449
2014,"Philadelphia County, PA","05000US42101",41911
2013,"King County, WA","05000US53033",41151
2015,"King County, WA","05000US53033",40710
2015,"Suffolk County, MA","05000US25025",39955
2014,"King County, WA","05000US53033",39838
2014,"Suffolk County, MA","05000US25025",39389
2013,"Middlesex County, MA","05000US25017",39036
2015,"Middlesex County, MA","05000US25017",38866
2014,"Middlesex County, MA","05000US25017",38820
2013,"Suffolk County, MA","05000US25025",37646
2015,"Marion County, IN","05000US18097",37112
2014,"Marion County, IN","05000US18097",36688
2013,"Marion County, IN","05000US18097",34697
2013,"Hillsborough County, FL","05000US12057",32347
2015,"Hillsborough County, FL","05000US12057",32036
2015,"Broward County, FL","05000US12011",31859
2014,"Hillsborough County, FL","05000US12057",31057
2014,"Allegheny County, PA","05000US42003",31009
2015,"Allegheny County, PA","05000US42003",30765
2015,"Salt Lake County, UT","05000US49035",30665
2013,"Allegheny County, PA","05000US42003",30434
2015,"Franklin County, OH","05000US39049",30404
2014,"Broward County, FL","05000US12011",30065
2014,"Franklin County, OH","05000US39049",29833
2013,"Broward County, FL","05000US12011",29723
2014,"Salt Lake County, UT","05000US49035",29551
2013,"Franklin County, OH","05000US39049",29240
2015,"Bexar County, TX","05000US48029",28532
2014,"District of Columbia, DC","05000US11001",28168
2014,"Alameda County, CA","05000US06001",28028
2015,"District of Columbia, DC","05000US11001",27957
2013,"District of Columbia, DC","05000US11001",27514
2015,"Alameda County, CA","05000US06001",27129
2013,"Santa Clara County, CA","05000US06085",27110
2013,"Alameda County, CA","05000US06001",27109
2015,"Santa Clara County, CA","05000US06085",26979
2015,"Dallas County, TX","05000US48113",26908
2014,"Santa Clara County, CA","05000US06085",26738
2013,"Salt Lake County, UT","05000US49035",26707
2015,"Tarrant County, TX","05000US48439",26535
2015,"Prince George's County, MD","05000US24033",26090
2013,"Sacramento County, CA","05000US06067",25688
2015,"Multnomah County, OR","05000US41051",25685
2013,"Prince George's County, MD","05000US24033",25640
2014,"Dallas County, TX","05000US48113",25624
2013,"Bexar County, TX","05000US48029",25286
2013,"Dallas County, TX","05000US48113",25197
2014,"Tarrant County, TX","05000US48439",25075
2014,"Prince George's County, MD","05000US24033",25051
2014,"Sacramento County, CA","05000US06067",24641
2014,"Multnomah County, OR","05000US41051",24579
2013,"Tarrant County, TX","05000US48439",24025
2013,"Multnomah County, OR","05000US41051",23924
2013,"San Francisco County, CA","05000US06075",23807
2015,"Travis County, TX","05000US48453",23368
2015,"Sacramento County, CA","05000US06067",23123
2014,"Bexar County, TX","05000US48029",23100
2013,"Travis County, TX","05000US48453",23063
2014,"San Bernardino County, CA","05000US06071",22937
2014,"San Francisco County, CA","05000US06075",22925
2014,"Travis County, TX","05000US48453",22905
2013,"San Bernardino County, CA","05000US06071",22839
2014,"Fulton County, GA","05000US13121",22771
2015,"Fulton County, GA","05000US13121",22757
2015,"San Francisco County, CA","05000US06075",22610
2014,"Washtenaw County, MI","05000US26161",22535
2013,"Washtenaw County, MI","05000US26161",22520
2013,"St. Louis County, MO","05000US29189",22428
2015,"Washtenaw County, MI","05000US26161",22407
2013,"Fulton County, GA","05000US13121",22227
2013,"Wayne County, MI","05000US26163",22196
2014,"Denver County, CO","05000US08031",22096
2014,"Wayne County, MI","05000US26163",22056
2013,"Kings County, NY","05000US36047",21886
2014,"St. Louis County, MO","05000US29189",21869
2013,"Denver County, CO","05000US08031",21598
2015,"Denver County, CO","05000US08031",21589
2015,"St. Louis County, MO","05000US29189",21027
2015,"Wayne County, MI","05000US26163",21018
2015,"San Bernardino County, CA","05000US06071",20958
2015,"Riverside County, CA","05000US06065",20855
2014,"Erie County, NY","05000US36029",20686
2014,"Kings County, NY","05000US36047",20516
2015,"Dane County, WI","05000US55025",20482
2015,"Lynchburg city","05000US51680",20440
2013,"Fairfax County, VA","05000US51059",20422
2013,"Erie County, NY","05000US36029",20191
2015,"Kings County, NY","05000US36047",20171
2015,"Erie County, NY","05000US36029",20092
2015,"DuPage County, IL","05000US17043",20061
2014,"Dane County, WI","05000US55025",20048
2014,"Queens County, NY","05000US36081",20036
2013,"Clinton County","05000US19045",20028
2013,"Dane County, WI","05000US55025",20016
2015,"Fairfax County, VA","05000US51059",19853
2015,"Nassau County, NY","05000US36059",19774
2013,"Queens County, NY","05000US36081",19765
2014,"Fairfax County, VA","05000US51059",19701
2015,"Queens County, NY","05000US36081",19686
2014,"Riverside County, CA","05000US06065",19493
2013,"Riverside County, CA","05000US06065",19481
2015,"Palm Beach County, FL","05000US12099",19368
2015,"Leon County, FL","05000US12073",19204
2014,"Nassau County, NY","05000US36059",19189
2014,"Lynchburg city","05000US51680",19136
2015,"Alachua County, FL","05000US12001",19110
2014,"Alachua County, FL","05000US12001",19105
2013,"Nassau County, NY","05000US36059",19088
2013,"Alachua County, FL","05000US12001",19052
2015,"Pima County, AZ","05000US04019",19043
2013,"Palm Beach County, FL","05000US12099",18999
2013,"Pima County, AZ","05000US04019",18980
2014,"Leon County, FL","05000US12073",18922
2014,"Baltimore city, MD","05000US24510",18737
2013,"Essex County, NJ","05000US34013",18725
2013,"Leon County, FL","05000US12073",18685
2014,"Pima County, AZ","05000US04019",18542
2014,"Clinton County","05000US19045",18533
2013,"Baltimore city, MD","05000US24510",18380
2015,"Baltimore city, MD","05000US24510",18225
2013,"Bernalillo County, NM","05000US35001",18196
2015,"Ingham County, MI","05000US26065",18188
2014,"Palm Beach County, FL","05000US12099",17920
2013,"Duval County, FL","05000US12031",17920
2015,"Duval County, FL","05000US12031",17904
2013,"Ingham County, MI","05000US26065",17837
2014,"Duval County, FL","05000US12031",17745
2015,"Hamilton County, OH","05000US39061",17696
2014,"Ingham County, MI","05000US26065",17646
2014,"DuPage County, IL","05000US17043",17617
2014,"Cuyahoga County, OH","05000US39035",17612
2014,"Hamilton County, OH","05000US39061",17603
2013,"Hamilton County, OH","05000US39061",17575
2015,"Cuyahoga County, OH","05000US39035",17550
2013,"Milwaukee County, WI","05000US55079",17372
2015,"New Haven County, CT","05000US09009",17313
2014,"Milwaukee County, WI","05000US55079",17257
2013,"Cuyahoga County, OH","05000US39035",17100
2015,"Clark County, NV","05000US32003",17019
2014,"Essex County, NJ","05000US34013",16998
2013,"New Haven County, CT","05000US09009",16997
2015,"Milwaukee County, WI","05000US55079",16997
2015,"Bernalillo County, NM","05000US35001",16926
2014,"Centre County, PA","05000US42027",16815
2015,"Wake County, NC","05000US37183",16763
2014,"New Haven County, CT","05000US09009",16716
2013,"Lynchburg city","05000US51680",16664
2014,"Monroe County, NY","05000US36055",16656
2015,"Davidson County, TN","05000US47037",16601
2015,"Centre County, PA","05000US42027",16585
2014,"Davidson County, TN","05000US47037",16504
2015,"Utah County, UT","05000US49049",16408
2013,"Davidson County, TN","05000US47037",16368
2015,"Essex County, NJ","05000US34013",16357
2015,"Monroe County, NY","05000US36055",16324
2015,"Delaware County, PA","05000US42045",16317
2014,"Clark County, NV","05000US32003",16313
2015,"Baltimore County, MD","05000US24005",16299
2014,"Utah County, UT","05000US49049",16279
2013,"Monroe County, NY","05000US36055",16278
2013,"DuPage County, IL","05000US17043",16274
2015,"Clinton County","05000US19045",16204
2014,"Baltimore County, MD","05000US24005",15957
2014,"Middlesex County, NJ","05000US34023",15847
2014,"Delaware County, PA","05000US42045",15825
2014,"Wake County, NC","05000US37183",15772
2015,"Middlesex County, NJ","05000US34023",15750
2013,"Utah County, UT","05000US49049",15660
2014,"Bernalillo County, NM","05000US35001",15588
2015,"Scott County, IA","05000US19163",15556
2013,"El Paso County, CO","05000US08041",15544
2013,"Scott County, IA","05000US19163",15385
2015,"San Juan Municipio, PR","05000US72127",15366
2015,"Suffolk County, NY","05000US36103",15352
2014,"Suffolk County, NY","05000US36103",15277
2014,"San Juan Municipio, PR","05000US72127",15276
2013,"Centre County, PA","05000US42027",15268
2014,"Orleans Parish, LA","05000US22071",15232
2015,"Bronx County, NY","05000US36005",15204
2013,"Wake County, NC","05000US37183",15082
2013,"Orleans Parish, LA","05000US22071",15082
2013,"Baltimore County, MD","05000US24005",15072
2013,"Suffolk County, NY","05000US36103",14953
2013,"Clark County, NV","05000US32003",14922
2014,"Bronx County, NY","05000US36005",14878
2015,"Brazos County, TX","05000US48041",14855
2014,"Scott County, IA","05000US19163",14851
2015,"Orleans Parish, LA","05000US22071",14825
2013,"San Juan Municipio, PR","05000US72127",14743
2014,"El Paso County, CO","05000US08041",14735
2015,"Mecklenburg County, NC","05000US37119",14639
2013,"Albany County, NY","05000US36001",14576
2015,"Champaign County, IL","05000US17019",14549
2014,"Albany County, NY","05000US36001",14455
2015,"Ramsey County, MN","05000US27123",14429
2014,"Jefferson County, KY","05000US21111",14413
2013,"Jefferson County, KY","05000US21111",14399
2015,"Albany County, NY","05000US36001",14366
2014,"Champaign County, IL","05000US17019",14362
2014,"Ramsey County, MN","05000US27123",14274
2013,"Bronx County, NY","05000US36005",14253
2015,"Jefferson County, KY","05000US21111",14192
2013,"Fresno County, CA","05000US06019",14167
2013,"Ramsey County, MN","05000US27123",14167
2014,"Brazos County, TX","05000US48041",14152
2014,"Honolulu County, HI","05000US15003",14096
2013,"Oakland County, MI","05000US26125",14018
2015,"Oklahoma County, OK","05000US40109",13971
2013,"Champaign County, IL","05000US17019",13953
2014,"Oklahoma County, OK","05000US40109",13923
2013,"Middlesex County, NJ","05000US34023",13849
2015,"El Paso County, CO","05000US08041",13830
2013,"El Paso County, TX","05000US48141",13801
2014,"El Paso County, TX","05000US48141",13787
2014,"East Baton Rouge Parish, LA","05000US22033",13786
2015,"El Paso County, TX","05000US48141",13718
2015,"Boone County, MO","05000US29019",13673
2013,"DeKalb County, GA","05000US13089",13646
2013,"Brazos County, TX","05000US48041",13582
2013,"Boone County, MO","05000US29019",13567
2014,"Mecklenburg County, NC","05000US37119",13524
2014,"Boone County, MO","05000US29019",13403
