year,geo_name,geo,grads_total_growth
2015,"Hillsdale County","05000US26059",20.3684
2014,"Susquehanna County","05000US42115",7.11111
2014,"Loudoun County, VA","05000US51107",3.13636
2015,"Douglas County, GA","05000US13097",2.91667
2015,"Hendricks County, IN","05000US18063",2.40984
2015,"Atoka County","05000US40005",2.32857
2014,"Prince William County, VA","05000US51153",1.82386
2014,"Lamar County","05000US28073",1.82143
2014,"Pendleton County","05000US54071",1.75
2015,"Geauga County","05000US39055",1.41176
2015,"Thomas County","05000US13275",1.36918
2014,"Wasatch County","05000US49051",1.33333
2015,"Madison County","05000US39097",1.3
2015,"Lawrence County","05000US47099",1.22222
2015,"Pike County","05000US29163",1.21429
2015,"Camden County","05000US29029",1.125
2014,"Hendricks County, IN","05000US18063",1.10345
2015,"Leake County","05000US28079",1.09804
2014,"Ware County","05000US13299",1.03859
2014,"Cherokee County","05000US48073",1.0
2014,"Jerome County","05000US16053",1.0
2015,"Davidson County, NC","05000US37057",0.994113
2014,"Buchanan County","05000US51027",0.97546
2015,"Lincoln County","05000US35027",0.915254
2015,"Pontotoc County","05000US28115",0.913043
2014,"Laurel County","05000US21125",0.9
2014,"Falls Church city","05000US51610",0.877551
2014,"Washington Parish","05000US22117",0.822835
2015,"Kent County, DE","05000US10001",0.811736
2014,"Duchesne County","05000US49013",0.800821
2014,"Hernando County, FL","05000US12053",0.8
2015,"Greene County","05000US05055",0.785714
2015,"Etowah County, AL","05000US01055",0.754566
2014,"Ionia County","05000US26067",0.6875
2014,"Green County","05000US55045",0.684211
2015,"Jackson County","05000US39079",0.666667
2014,"Elko County","05000US32007",0.664303
2015,"Major County","05000US40093",0.657143
2014,"Elmore County","05000US01051",0.643052
2015,"Clay County","05000US21051",0.636364
2015,"Coffee County","05000US47031",0.62963
2014,"Tulare County, CA","05000US06107",0.625975
2014,"Clark County, OH","05000US39023",0.623203
2014,"Barbour County","05000US54001",0.622449
2015,"Coos County","05000US41011",0.601626
2014,"Douglas County, CO","05000US08035",0.601073
2015,"Baraga County","05000US26013",0.6
2014,"Stone County","05000US28131",0.59383
2015,"North Slope Borough","05000US02185",0.582278
