year,geo_name,geo,high_school_graduation
2017,"Collingsworth County","05000US48087",1.0
2015,"Hickman County","05000US21105",1.0
2015,"Dewey County","05000US40043",1.0
2017,"Briscoe County","05000US48045",1.0
2017,"San Saba County","05000US48411",1.0
2017,"Mason County","05000US48319",1.0
2017,"Menard County","05000US48327",1.0
2017,"Jeff Davis County","05000US48243",1.0
2017,"Hansford County","05000US48195",1.0
2016,"Madison County","05000US16065",1.0
2017,"Hardeman County","05000US48197",1.0
2017,"Hall County","05000US48191",1.0
2017,"Jack County","05000US48237",1.0
2017,"Shackelford County","05000US48417",1.0
2017,"Irion County","05000US48235",1.0
2017,"Sterling County","05000US48431",1.0
2015,"Madison County","05000US16065",1.0
2017,"Lipscomb County","05000US48295",1.0
2017,"Motley County","05000US48345",1.0
2017,"Coke County","05000US48081",1.0
2015,"McClain County","05000US40087",1.0
2017,"Culberson County","05000US48109",1.0
2017,"Kimble County","05000US48267",1.0
2017,"Foard County","05000US48155",1.0
2017,"Terrell County","05000US48443",1.0
2017,"Glasscock County","05000US48173",1.0
2017,"Throckmorton County","05000US48447",1.0
2017,"Kent County","05000US48263",1.0
2017,"Borden County","05000US48033",1.0
2017,"Roberts County","05000US48393",1.0
2015,"Cimarron County","05000US40025",1.0
2017,"McMullen County","05000US48311",1.0
2017,"Winkler County","05000US48495",1.0
2017,"Rowan County","05000US21205",0.995
2017,"Carter County","05000US21043",0.995
2017,"Lauderdale County","05000US47097",0.995
2015,"Morgan County","05000US47129",0.995
2015,"Leslie County","05000US21131",0.992
2017,"Taylor County","05000US21217",0.99
2015,"Taylor County","05000US21217",0.99
2017,"Jones County","05000US48253",0.99
2017,"Goliad County","05000US48175",0.99
2016,"Kendall County","05000US48259",0.99
2016,"Taylor County","05000US21217",0.988
2015,"Larue County","05000US21123",0.987
2015,"Kendall County","05000US48259",0.987
2017,"Carson County","05000US48065",0.987
2017,"Martin County","05000US48317",0.986
2017,"Marion County","05000US48315",0.986
2015,"Washington County","05000US21229",0.985
2017,"Sutton County","05000US48435",0.985
2017,"Archer County","05000US48009",0.985
2017,"Yoakum County","05000US48501",0.984
2017,"Blanco County","05000US48031",0.983
2017,"Chambers County","05000US48071",0.982
2017,"Franklin County","05000US48159",0.981
2017,"Castro County","05000US48069",0.981
2017,"Cleburne County","05000US01029",0.98
2016,"Tipton County","05000US47167",0.98
2017,"Tipton County","05000US47167",0.98
2015,"Titus County","05000US48449",0.979
2016,"Chambers County","05000US48071",0.978
2017,"Crockett County","05000US48105",0.978
2017,"Lavaca County","05000US48285",0.978
