year,geo_name,geo,some_college
2017,"Kalawao County","05000US15005",1.0
2015,"Kalawao County","05000US15005",1.0
2016,"Kalawao County","05000US15005",1.0
2016,"McPherson County","05000US31117",0.944
2017,"McPherson County","05000US31117",0.895
2015,"Mineral County","05000US08079",0.891
2016,"Mineral County","05000US08079",0.89
2017,"Arlington County, VA","05000US51013",0.889
2015,"McPherson County","05000US31117",0.885
2015,"Albany County","05000US56001",0.883
2016,"Arlington County, VA","05000US51013",0.883
2017,"Falls Church city","05000US51610",0.881
2015,"Hooker County","05000US31091",0.88
2015,"Arlington County, VA","05000US51013",0.88
2016,"Falls Church city","05000US51610",0.879
2017,"Douglas County, CO","05000US08035",0.872
2015,"Falls Church city","05000US51610",0.868
2015,"Story County","05000US19169",0.866
2015,"Los Alamos County","05000US35028",0.865
2017,"Hamilton County, IN","05000US18057",0.864
2016,"Douglas County, CO","05000US08035",0.864
2015,"Douglas County, CO","05000US08035",0.863
2016,"Hamilton County, IN","05000US18057",0.862
2016,"Albany County","05000US56001",0.861
2015,"Hamilton County, IN","05000US18057",0.861
2017,"Albany County","05000US56001",0.86
2017,"Broomfield County","05000US08014",0.86
2015,"Whitman County","05000US53075",0.857
2017,"San Francisco County, CA","05000US06075",0.855
2016,"Hooker County","05000US31091",0.855
2017,"Fairfax city","05000US51600",0.851
2016,"San Francisco County, CA","05000US06075",0.85
2017,"Howard County, MD","05000US24027",0.849
2016,"Story County","05000US19169",0.848
2017,"Madison County","05000US16065",0.847
2017,"Hooker County","05000US31091",0.847
2017,"Story County","05000US19169",0.846
2017,"Whitman County","05000US53075",0.846
2016,"Howard County, MD","05000US24027",0.846
2016,"Whitman County","05000US53075",0.845
2016,"Broomfield County","05000US08014",0.844
2015,"San Francisco County, CA","05000US06075",0.844
2015,"Logan County","05000US31113",0.844
2015,"Arthur County","05000US31005",0.843
2017,"Lincoln County","05000US46083",0.843
2017,"Washtenaw County, MI","05000US26161",0.843
2017,"Los Alamos County","05000US35028",0.843
2017,"Johnson County, KS","05000US20091",0.842
2016,"Madison County","05000US16065",0.841
2016,"Johnson County, KS","05000US20091",0.84
2015,"Howard County, MD","05000US24027",0.84
2016,"Washtenaw County, MI","05000US26161",0.84
2015,"Oldham County","05000US48359",0.84
2015,"Johnson County, KS","05000US20091",0.84
2017,"Dallas County","05000US19049",0.839
2017,"Borden County","05000US48033",0.839
2015,"Madison County","05000US16065",0.837
