"Statecode","Statename","Countyname","Countycode","TotalPop","taxdividend_PredPop","taxdividend","taxdividendOppose_PredPop","taxdividendOppose","CO2limits_PredPop","CO2limits","CO2limitsOppose_PredPop","CO2limitsOppose","regulate_PredPop","regulate","regulateOppose_PredPop","regulateOppose","supportRPS_PredPop","supportRPS","supportRPSOppose_PredPop","supportRPSOppose","fundrenewables_PredPop","fundrenewables","fundrenewablesOppose_PredPop","fundrenewablesOppose","happening_PredPop","happening","happeningOppose_PredPop","happeningOppose","human_PredPop","human","humanOppose_PredPop","humanOppose","consensus_PredPop","consensus","consensusOppose_PredPop","consensusOppose","worried_PredPop","worried","worriedOppose_PredPop","worriedOppose","personal_PredPop","personal","personalOppose_PredPop","personalOppose","harmUS_PredPop","harmUS","harmUSOppose_PredPop","harmUSOppose","devharm_PredPop","devharm","devharmOppose_PredPop","devharmOppose","futuregen_PredPop","futuregen","futuregenOppose_PredPop","futuregenOppose","timing_PredPop","timing","timingOppose_PredPop","timingOppose"
"AL","Alabama","Autauga County, Alabama",1001,35144,13777,39,8860,25,18902,54,15921,45,24755,70,10089,29,19656,56,15100,43,25718,73,9362,27,19408,55,8356,24,14944,43,14096,40,11055,31,13812,39,15799,45,19360,55,10607,30,19473,55,15771,45,14660,42,15895,45,13691,39,18883,54,10752,31,13388,38,21661,62
"AL","Alabama","Baldwin County, Alabama",1003,127271,50883,40,33669,26,70333,55,56612,44,90001,71,35907,28,72303,57,54230,43,94503,74,31842,25,73038,57,30413,24,54583,43,48067,38,41179,32,51957,41,60002,47,67483,53,38272,30,73681,58,57679,45,55426,44,59384,47,50488,40,70752,56,39099,31,47225,37,79201,62
"AL","Alabama","Barbour County, Alabama",1005,18982,8078,43,3882,20,10307,54,8462,45,13161,69,5551,29,10191,54,8534,45,13539,71,5253,28,10910,57,3365,18,8229,43,7471,39,5944,31,6241,33,8811,46,10191,54,6270,33,9070,48,8734,46,6778,36,8627,45,6290,33,10046,53,5097,27,7846,41,10999,58
"AL","Alabama","Bibb County, Alabama",1007,15518,6653,43,3221,21,7826,50,7619,49,10298,66,5140,33,7848,51,7570,49,10885,70,4572,29,8084,52,3607,23,5987,39,6701,43,4367,28,5930,38,6435,41,9106,59,4425,29,8507,55,6503,42,6593,42,6404,41,6271,40,7751,50,5113,33,5612,36,9794,63
"AL","Alabama","Blount County, Alabama",1009,38703,15188,39,10088,26,22907,59,15515,40,27898,72,10506,27,22519,58,15651,40,29023,75,9309,24,21999,57,8675,22,18443,48,13807,36,13378,35,14416,37,18836,49,19861,51,12062,31,21493,56,18165,47,15817,41,18470,48,14264,37,21573,56,11413,29,15334,40,23184,60
"AL","Alabama","Bullock County, Alabama",1011,7575,3378,45,1294,17,3895,51,3597,47,5068,67,2348,31,3884,51,3570,47,5195,69,2274,30,4205,56,1132,15,2984,39,3211,42,2189,29,2289,30,3367,44,4210,56,2607,34,3257,43,3479,46,2451,32,3348,44,2335,31,3820,50,1954,26,3147,42,4349,57
"AL","Alabama","Butler County, Alabama",1013,14081,5858,42,2815,20,7056,50,6888,49,9588,68,4319,31,7352,52,6564,47,9830,70,4196,30,7409,53,2944,21,5521,39,6014,43,3838,27,5142,37,5942,42,8145,58,4351,31,7045,50,6169,44,5372,38,5975,42,5188,37,7108,50,4177,30,5383,38,8598,61
"AL","Alabama","Calhoun County, Alabama",1015,78303,31771,41,18261,23,42211,54,35527,45,54718,70,22548,29,43190,55,34277,44,56618,72,21157,27,42451,54,18507,24,34058,43,29928,38,23940,31,29844,38,35137,45,43200,55,23860,30,42444,54,35077,45,31873,41,35007,45,29857,38,41247,53,23977,31,30024,38,47888,61
"AL","Alabama","Chambers County, Alabama",1017,23647,10046,42,4709,20,12386,52,11025,47,16188,68,7193,30,12373,52,11019,47,16575,70,6817,29,12903,55,4762,20,9300,39,10090,43,6908,29,8401,36,10243,43,13418,57,7376,31,11885,50,10462,44,9082,38,10191,43,8718,37,12012,51,7173,30,9167,39,14290,60
"AL","Alabama","Cherokee County, Alabama",1019,18510,7841,42,4157,22,9387,51,9102,49,12312,67,6208,34,9447,51,9030,49,13212,71,5274,28,9643,52,4785,26,7203,39,7884,43,5387,29,7564,41,7713,42,10834,59,5002,27,10935,59,7628,41,8524,46,7635,41,8049,43,9418,51,6507,35,6459,35,11944,65
