"Statecode","Statename","TotalPop","taxdividend_PredPop","taxdividend","taxdividendOppose_PredPop","taxdividendOppose","CO2limits_PredPop","CO2limits","CO2limitsOppose_PredPop","CO2limitsOppose","regulate_PredPop","regulate","regulateOppose_PredPop","regulateOppose","supportRPS_PredPop","supportRPS","supportRPSOppose_PredPop","supportRPSOppose","fundrenewables_PredPop","fundrenewables","fundrenewablesOppose_PredPop","fundrenewablesOppose","happening_PredPop","happening","happeningOppose_PredPop","happeningOppose","human_PredPop","human","humanOppose_PredPop","humanOppose","consensus_PredPop","consensus","consensusOppose_PredPop","consensusOppose","worried_PredPop","worried","worriedOppose_PredPop","worriedOppose","personal_PredPop","personal","personalOppose_PredPop","personalOppose","harmUS_PredPop","harmUS","harmUSOppose_PredPop","harmUSOppose","devharm_PredPop","devharm","devharmOppose_PredPop","devharmOppose","futuregen_PredPop","futuregen","futuregenOppose_PredPop","futuregenOppose","timing_PredPop","timing","timingOppose_PredPop","timingOppose"
"AK","Alaska",447543,185343,41,117345,26,212898,48,241910,54,299953,67,142283,32,231533,52,209611,47,340502,76,103875,23,277128,62,94263,21,203607,45,172306,39,166372,37,188432,42,215511,48,229271,51,130348,29,267644,60,200556,45,209057,47,225732,50,176049,39,245072,55,146537,33,181461,41,263150,59
"AL","Alabama",3166424,1291286,41,818043,26,1673423,53,1488482,47,2196627,69,953026,30,1729461,55,1404350,44,2309285,73,836219,26,1787295,56,665684,21,1375839,43,1221039,39,1030268,33,1164899,37,1451281,46,1717894,54,987739,31,1682249,53,1438808,45,1270293,40,1467736,46,1171971,37,1693632,53,949324,30,1256671,40,1890952,60
"AR","Arkansas",1921039,815522,42,456592,24,1124082,59,804671,42,1362250,71,543285,28,1084748,56,816588,43,1403990,73,492998,26,1092038,57,417328,22,843520,44,746747,39,651869,34,728312,38,906665,47,1010739,53,604400,31,1031451,54,885497,46,776204,40,900502,47,716456,37,1058621,55,568292,30,749958,39,1159820,60
"AZ","Arizona",4149955,1747013,42,1009016,24,2656998,64,1463282,35,3073707,74,1059195,26,2549023,61,1561281,38,3138582,76,936419,23,2662791,64,794609,19,2038115,49,1450951,35,1752669,42,1407011,34,2237764,54,1894343,46,1557954,38,2137952,52,2196089,53,1541283,37,2210959,53,1431995,35,2512113,61,1071469,26,1835668,44,2298091,55
"CA","California",24117317,11341411,47,5524982,23,17401401,72,6205916,26,19049085,79,4698611,19,15895453,66,7678247,32,19004090,79,4613049,19,16917274,70,3136220,13,13188355,55,7082820,29,11790655,49,6629929,27,15038517,62,8985988,37,10204268,42,11314973,47,14317051,59,7459301,31,14744503,61,6559723,27,16880034,70,4528428,19,11651580,48,12291289,51
"CO","Colorado",3328869,1458277,44,874243,26,2204350,66,1092005,33,2519987,76,777739,23,2090936,63,1220775,37,2605766,78,660021,20,2192952,66,570020,17,1675904,50,1105310,33,1488796,45,1101989,33,1826228,55,1495036,45,1184697,36,1820369,55,1761046,53,1264791,38,1831764,55,1139199,34,2124109,64,805908,24,1451221,44,1858348,56
"CT","Connecticut",2431340,1094904,45,637841,26,1695497,70,680980,28,1898834,78,507597,21,1618176,67,793945,33,1931512,79,470722,19,1602324,66,375736,15,1244722,51,770216,32,1088462,45,734565,30,1372434,56,1057618,43,887655,37,1322228,54,1327039,55,863828,36,1358221,56,788063,32,1626190,67,525690,22,1066467,44,1347825,55
"DC","District of Columbia",417432,224318,54,90260,22,334540,80,69463,17,359205,86,47199,11,309241,74,102806,25,357792,86,47542,11,336754,81,19956,5,255253,61,100553,24,268633,64,70359,17,297794,71,118920,28,194218,47,180547,43,279734,67,94397,23,299055,72,72908,17,334035,80,41147,10,237400,57,172235,41
"DE","Delaware",603331,267427,44,161161,27,388377,64,200273,33,467141,77,130087,22,377433,63,220801,37,477262,79,123211,20,392667,65,88126,15,304099,50,192120,32,266324,44,175615,29,329801,55,273486,45,216485,36,317302,53,324193,54,209090,35,334452,55,189315,31,393878,65,129030,21,267231,44,330916,55
"FL","Florida",13127624,5615583,43,3262938,25,8141092,62,4733603,36,9899122,75,3149571,24,8075554,62,4889921,37,10056304,77,2984063,23,8426918,64,2236363,17,6513412,50,4422469,34,5498726,42,4076788,31,7124988,54,6040099,46,4984742,38,6918240,53,7053159,54,4631487,35,7023916,54,4455035,34,8120955,62,3121361,24,5879498,45,7175321,55
